row_index,length,pct_A,pct_T,pct_C,pct_G,first_50_pA,first_50_pT,first_50_pC,first_50_pG,last_50_pA,last_50_pT,last_50_pC,last_50_pG
1879,76.0,0.23684210526315788,0.18421052631578946,0.19736842105263158,0.3815789473684211,0.2,0.22,0.28,0.3,0.28,0.1,0.16,0.46
1880,570.0,0.23157894736842105,0.2,0.2894736842105263,0.2789473684210526,0.18,0.12,0.42,0.28,0.52,0.28,0.1,0.1
1881,698.0,0.27650429799426934,0.2793696275071633,0.2349570200573066,0.20916905444126074,0.28,0.18,0.36,0.18,0.4,0.24,0.18,0.18
1882,715.0,0.11888111888111888,0.2013986013986014,0.43496503496503497,0.24475524475524477,0.06,0.28,0.4,0.26,0.1,0.18,0.46,0.26
1883,99.0,0.2727272727272727,0.29292929292929293,0.23232323232323232,0.20202020202020202,0.26,0.36,0.16,0.22,0.3,0.22,0.3,0.18
1884,849.0,0.3321554770318021,0.26855123674911663,0.1707891637220259,0.22850412249705537,0.24,0.26,0.26,0.24,0.42,0.3,0.14,0.14
1885,38.0,0.21052631578947367,0.39473684210526316,0.13157894736842105,0.2631578947368421,0.21052631578947367,0.39473684210526316,0.13157894736842105,0.2631578947368421,0.21052631578947367,0.39473684210526316,0.13157894736842105,0.2631578947368421
1886,72.0,0.1527777777777778,0.2222222222222222,0.2777777777777778,0.3472222222222222,0.16,0.24,0.28,0.32,0.14,0.16,0.34,0.36
1887,69.0,0.2753623188405797,0.2463768115942029,0.2318840579710145,0.2463768115942029,0.3,0.24,0.22,0.24,0.26,0.22,0.24,0.28
1888,302.0,0.33112582781456956,0.22847682119205298,0.19205298013245034,0.24834437086092714,0.3,0.28,0.26,0.16,0.36,0.24,0.18,0.22
1889,192.0,0.25,0.3229166666666667,0.22395833333333334,0.203125,0.2,0.44,0.16,0.2,0.26,0.2,0.38,0.16
1890,295.0,0.2135593220338983,0.16610169491525423,0.28135593220338984,0.3389830508474576,0.18,0.22,0.34,0.26,0.22,0.12,0.36,0.3
1891,953.0,0.20776495278069254,0.19622245540398742,0.2990556138509968,0.2969569779643232,0.26,0.16,0.26,0.32,0.42,0.24,0.16,0.18
1892,499.0,0.28857715430861725,0.24048096192384769,0.23847695390781562,0.23246492985971945,0.12,0.28,0.38,0.22,0.36,0.34,0.16,0.14
1893,712.0,0.30337078651685395,0.19101123595505617,0.23876404494382023,0.26685393258426965,0.2,0.12,0.2,0.48,0.16,0.64,0.18,0.02
1894,295.0,0.17966101694915254,0.25084745762711863,0.3288135593220339,0.24067796610169492,0.22,0.36,0.36,0.06,0.22,0.22,0.26,0.3
1895,500.0,0.306,0.288,0.184,0.222,0.34,0.28,0.18,0.2,0.42,0.14,0.2,0.24
1896,52.0,0.21153846153846154,0.4230769230769231,0.15384615384615385,0.21153846153846154,0.22,0.44,0.12,0.22,0.2,0.44,0.16,0.2
1897,890.0,0.24157303370786518,0.2966292134831461,0.2348314606741573,0.22696629213483147,0.28,0.3,0.28,0.14,0.2,0.2,0.34,0.26
1898,295.0,0.2305084745762712,0.25084745762711863,0.2711864406779661,0.24745762711864408,0.26,0.4,0.18,0.16,0.16,0.18,0.38,0.28
1899,74.0,0.1891891891891892,0.17567567567567569,0.2972972972972973,0.33783783783783783,0.22,0.22,0.2,0.36,0.18,0.14,0.36,0.32
1900,601.0,0.3011647254575707,0.24958402662229617,0.1930116472545757,0.2562396006655574,0.24,0.26,0.26,0.24,0.4,0.32,0.14,0.14
1901,99.0,0.30303030303030304,0.35353535353535354,0.18181818181818182,0.16161616161616163,0.36,0.4,0.12,0.12,0.24,0.32,0.24,0.2
1902,500.0,0.332,0.336,0.186,0.146,0.2,0.38,0.16,0.26,0.46,0.28,0.2,0.06
1903,362.0,0.39502762430939226,0.19889502762430938,0.17403314917127072,0.23204419889502761,0.34,0.26,0.2,0.2,0.46,0.34,0.04,0.16
1904,608.0,0.26973684210526316,0.23684210526315788,0.22861842105263158,0.26480263157894735,0.12,0.36,0.26,0.26,0.36,0.14,0.24,0.26
1905,987.0,0.2573454913880446,0.25835866261398177,0.23302938196555217,0.2512664640324215,0.2,0.28,0.26,0.26,0.44,0.2,0.12,0.24
1906,145.0,0.2482758620689655,0.32413793103448274,0.23448275862068965,0.19310344827586207,0.32,0.3,0.2,0.18,0.24,0.24,0.24,0.28
1907,660.0,0.2787878787878788,0.22575757575757577,0.23939393939393938,0.25606060606060604,0.16,0.28,0.2,0.36,0.44,0.14,0.28,0.14
1908,546.0,0.3076923076923077,0.31135531135531136,0.15567765567765568,0.22527472527472528,0.16,0.34,0.22,0.28,0.36,0.18,0.18,0.28
1909,257.0,0.27626459143968873,0.245136186770428,0.26848249027237353,0.21011673151750973,0.2,0.26,0.44,0.1,0.38,0.2,0.2,0.22
1910,191.0,0.23036649214659685,0.2931937172774869,0.24607329842931938,0.23036649214659685,0.18,0.38,0.24,0.2,0.18,0.2,0.38,0.24
1911,587.0,0.3492333901192504,0.25894378194207834,0.14991482112436116,0.24190800681431004,0.2,0.24,0.28,0.28,0.42,0.24,0.04,0.3
1912,643.0,0.29082426127527217,0.27527216174183516,0.20684292379471228,0.22706065318818042,0.2,0.3,0.38,0.12,0.38,0.3,0.06,0.26
1913,295.0,0.26101694915254237,0.29152542372881357,0.2135593220338983,0.23389830508474577,0.24,0.44,0.18,0.14,0.2,0.32,0.32,0.16
1914,87.0,0.2413793103448276,0.3103448275862069,0.1839080459770115,0.26436781609195403,0.22,0.3,0.22,0.26,0.3,0.32,0.12,0.26
1915,900.0,0.2633333333333333,0.23222222222222222,0.27555555555555555,0.2288888888888889,0.24,0.26,0.32,0.18,0.42,0.1,0.26,0.22
1916,295.0,0.23728813559322035,0.29491525423728815,0.33559322033898303,0.13220338983050847,0.4,0.16,0.24,0.2,0.22,0.28,0.38,0.12
1917,295.0,0.288135593220339,0.23389830508474577,0.2440677966101695,0.23389830508474577,0.36,0.18,0.28,0.18,0.12,0.4,0.3,0.18
1918,857.0,0.32438739789964993,0.20770128354725786,0.2193698949824971,0.2485414235705951,0.24,0.28,0.3,0.18,0.46,0.26,0.12,0.16
1919,782.0,0.3491048593350384,0.24680306905370844,0.1483375959079284,0.2557544757033248,0.68,0.0,0.0,0.32,0.34,0.26,0.16,0.24
1920,295.0,0.1864406779661017,0.38305084745762713,0.1864406779661017,0.2440677966101695,0.18,0.42,0.16,0.24,0.16,0.46,0.14,0.24
1921,73.0,0.2328767123287671,0.2328767123287671,0.2191780821917808,0.3150684931506849,0.3,0.2,0.2,0.3,0.2,0.26,0.24,0.3
1922,313.0,0.2012779552715655,0.24600638977635783,0.2715654952076677,0.28115015974440893,0.32,0.12,0.36,0.2,0.22,0.26,0.26,0.26
1923,295.0,0.2745762711864407,0.2033898305084746,0.26101694915254237,0.26101694915254237,0.36,0.2,0.22,0.22,0.3,0.12,0.38,0.2
1924,270.0,0.2518518518518518,0.24814814814814815,0.21851851851851853,0.2814814814814815,0.32,0.28,0.18,0.22,0.2,0.26,0.2,0.34
1925,295.0,0.2576271186440678,0.3525423728813559,0.2305084745762712,0.15932203389830507,0.32,0.32,0.18,0.18,0.18,0.52,0.14,0.16
1926,659.0,0.2534142640364188,0.18209408194233687,0.27617602427921095,0.2883156297420334,0.16,0.2,0.26,0.38,0.3,0.22,0.32,0.16
1927,295.0,0.2033898305084746,0.2,0.33559322033898303,0.26101694915254237,0.12,0.26,0.36,0.26,0.24,0.26,0.18,0.32
1928,448.0,0.2857142857142857,0.27232142857142855,0.18080357142857142,0.2611607142857143,0.06,0.38,0.36,0.2,0.28,0.36,0.22,0.14
1929,455.0,0.34285714285714286,0.27912087912087913,0.15384615384615385,0.22417582417582418,0.16,0.32,0.16,0.36,0.34,0.4,0.1,0.16
1930,104.0,0.3557692307692308,0.25961538461538464,0.16346153846153846,0.22115384615384615,0.36,0.28,0.16,0.2,0.36,0.24,0.16,0.24
1931,974.0,0.29876796714579057,0.24845995893223818,0.19507186858316222,0.25770020533880905,0.28,0.26,0.16,0.3,0.28,0.1,0.16,0.46
1932,295.0,0.17966101694915254,0.25084745762711863,0.18305084745762712,0.3864406779661017,0.14,0.42,0.08,0.36,0.18,0.28,0.2,0.34
1933,455.0,0.26593406593406593,0.15164835164835164,0.2725274725274725,0.3098901098901099,0.12,0.12,0.32,0.44,0.24,0.2,0.2,0.36
1934,931.0,0.24704618689581095,0.31149301825993553,0.24382384532760473,0.19763694951664876,0.34,0.28,0.1,0.28,0.42,0.24,0.12,0.22
1935,153.0,0.20261437908496732,0.2222222222222222,0.28104575163398693,0.29411764705882354,0.2,0.22,0.26,0.32,0.06,0.2,0.4,0.34
1936,81.0,0.1728395061728395,0.16049382716049382,0.345679012345679,0.32098765432098764,0.18,0.16,0.2,0.46,0.2,0.14,0.46,0.2
1937,127.0,0.29133858267716534,0.28346456692913385,0.2125984251968504,0.2125984251968504,0.28,0.26,0.16,0.3,0.28,0.4,0.2,0.12
1938,643.0,0.3048211508553655,0.25972006220839816,0.18195956454121306,0.2534992223950233,0.2,0.3,0.2,0.3,0.24,0.3,0.2,0.26
1939,295.0,0.26440677966101694,0.31864406779661014,0.22033898305084745,0.19661016949152543,0.3,0.28,0.3,0.12,0.28,0.3,0.24,0.18
1940,295.0,0.2,0.31186440677966104,0.3694915254237288,0.11864406779661017,0.28,0.32,0.38,0.02,0.14,0.36,0.38,0.12
1941,295.0,0.2983050847457627,0.37966101694915255,0.17627118644067796,0.14576271186440679,0.3,0.38,0.22,0.1,0.44,0.32,0.06,0.18
1942,730.0,0.32602739726027397,0.24246575342465754,0.2493150684931507,0.1821917808219178,0.24,0.34,0.3,0.12,0.38,0.12,0.26,0.24
